queue,vehicles
0,1
0,1
0,2
0,2
0,3
0,3
0,4
0,4
0,5
0,5
0,6
0,6
1,7
0,7
0,8
0,8
0,9
0,9
0,10
0,10
0,11
0,11
0,12
0,12
0,13
0,13
0,14
0,14
0,15
0,15
0,16
0,16
0,17
0,16
0,17
0,17
0,18
0,18
0,18
0,19
0,20
0,20
0,21
0,20
0,21
0,21
0,22
0,22
0,22
0,22
0,23
0,23
0,24
0,24
0,25
0,25
0,26
0,26
0,27
0,27
0,26
0,26
0,26
0,26
0,27
0,27
1,28
0,28
0,29
0,28
0,28
0,29
1,30
1,30
0,31
0,31
0,32
0,32
1,33
0,33
0,34
0,34
0,34
0,35
0,36
0,36
0,37
0,37
0,38
0,38
0,39
0,39
0,40
0,40
0,41
0,41
0,42
0,42
0,43
0,43
1,44
0,44
0,45
0,44
0,43
0,43
0,43
0,43
0,42
0,42
0,43
0,43
0,44
0,44
0,45
0,45
0,46
0,46
0,47
0,47
0,48
1,46
1,47
2,47
1,48
0,48
0,49
0,49
0,49
1,50
0,51
0,51
0,50
0,50
0,51
0,51
0,51
0,51
0,51
0,51
1,51
0,51
0,52
0,51
1,52
0,52
0,52
0,51
0,52
0,52
0,52
0,52
0,53
0,53
0,54
0,54
0,55
0,55
0,55
0,55
0,54
0,53
0,54
0,54
0,54
0,53
0,53
0,54
0,55
0,55
0,56
0,55
0,56
0,56
0,57
1,57
1,58
1,58
2,59
2,59
1,60
0,60
0,61
0,60
0,61
0,61
1,62
1,62
0,61
0,60
0,59
0,58
0,59
0,57
1,58
2,58
2,59
0,59
0,60
0,60
0,61
0,61
0,62
0,62
0,62
0,62
0,63
0,63
0,64
1,64
1,66
0,66
0,67
0,67
0,68
0,68
0,67
0,67
0,67
0,67
0,67
0,66
0,67
0,65
1,66
0,64
0,63
0,63
0,64
0,63
0,64
0,62
0,63
0,63
1,63
1,62
1,61
1,61
1,61
0,61
0,62
0,63
1,64
0,64
1,65
0,64
0,64
0,61
0,60
0,58
1,59
0,58
0,58
0,55
0,56
0,56
0,55
1,53
2,52
0,52
0,52
0,52
0,53
1,53
1,54
1,54
0,55
0,55
0,56
0,55
0,56
0,56
0,57
0,57
1,57
0,57
0,58
0,58
0,59
0,59
0,60
0,60
0,61
0,61
0,62
0,61
0,61
0,61
0,61
0,61
0,62
0,62
0,62
0,61
0,61
0,61
1,62
1,62
0,63
0,64
0,64
0,64
0,65
0,64
0,64
0,64
0,64
0,63
0,63
0,62
0,62
0,61
0,61
0,62
0,64
0,63
0,64
0,63
0,62
0,62
0,62
0,61
0,61
0,62
0,63
0,63
0,62
0,62
0,63
0,64
0,65
0,65
0,65
0,64
0,65
0,65
0,66
0,66
0,67
0,67
0,68
1,68
1,69
0,69
0,70
0,70
0,71
0,71
1,72
0,71
0,72
0,71
0,71
0,70
0,71
0,71
0,70
0,69
0,68
0,69
0,70
0,70
0,71
0,70
1,71
1,71
1,69
0,69
0,69
0,69
0,69
0,68
0,68
0,68
0,68
0,68
0,69
0,69
0,69
0,68
0,69
0,70
2,70
0,69
0,70
0,69
0,70
1,69
1,70
2,70
2,71
2,71
2,72
2,71
1,72
0,72
1,73
0,73
1,74
0,73
1,73
0,72
0,72
0,71
0,69
1,69
1,70
1,71
0,71
0,70
0,71
0,70
0,70
0,70
0,72
0,72
0,74
0,74
0,75
0,74
0,75
0,74
0,75
0,74
1,75
0,74
0,75
0,75
0,76
0,75
0,75
0,73
0,73
0,73
1,73
0,73
0,73
0,72
0,72
0,72
0,71
0,72
0,72
1,72
2,72
3,72
4,72
2,72
0,72
0,72
0,73
0,72
0,72
0,72
0,74
0,73
1,74
1,74
0,73
0,73
0,73
0,71
1,73
0,71
1,72
1,72
1,73
2,73
2,72
2,72
2,71
1,71
1,72
1,73
1,73
2,73
2,74
2,74
2,75
3,75
3,76
3,76
2,77
2,76
2,77
1,76
2,77
1,77
1,75
1,75
0,76
0,75
0,75
0,74
1,74
0,75
0,76
0,75
0,75
0,74
